trigger,pain,urgency,action_value,partner_value,data_access,data_cost_favorable,accuracy_favorable,competition_favorable,retention,cross_site_value,monetization,weighted_score,scope_note
BACK_IN_STOCK,8.5,8.5,9,9,9,8,7,4.5,7.5,8,8,8.03,Core candidate
SIZE_AVAILABLE,9,9,9,9,8,7.5,6.5,5,8,8.5,8.5,8.08,Core candidate
PRICE_BELOW_X,8,7.5,8.5,8,8.5,8,7.5,4,6.5,8,7.5,7.55,Core candidate
PRICE_DROP_PERCENT,7,7,7.5,7.5,9,8.5,8,3.5,6,7,7,7.19,Core candidate
REAL_DISCOUNT,7.5,7,8,7.5,7,6.5,5.5,3.5,6.5,7,7,6.73,Core candidate
COUPON_AVAILABLE,6.5,7,7.5,7.5,6,6,5.5,4,5.5,7,6.5,6.36,Core candidate
SALE_ENDING,7,8,7,6.5,8,8,7,6,6,6.5,6,6.97,Core candidate
TICKETS_ON_SALE,9,9.5,9.5,8.5,6,6,6,5.5,7.5,8.5,8,7.73,Core candidate
NEW_TICKET_INVENTORY,9,9.5,9.5,9,4.5,4.5,4.5,5,8,9,8,7.39,Core candidate
BROADCAST_CONFIRMED,8,8,7,5.5,5,4.5,5,5.5,8.5,5,7,6.29,Core candidate
MATCH_STARTING,6,7,4.5,3.5,9,9,9,2,9,3,4,6.03,Core candidate
EVENT_RESCHEDULED,8.5,9,8.5,5.5,6,6,5,6.5,6,6,7,6.8,Core candidate
DEADLINE_SOON,8.5,9,9,7.5,7,7,7,6,8,8,8,7.77,NePropusti Pro adjacency
NEW_MATCH,5.5,6,4,3,9,9,9,2,8,3,3.5,5.66,Core candidate
