wedge,pain,frequency,retention,monetization,data_access,competitive_advantage,trust_opportunity,technical_feasibility,ops_feasibility,regulatory_feasibility,serbia_fit,regional_scale,solo_founder_fit,moat,weighted_score
Price truth / real discount,8,7,7,8,9,6,10,7,7,9,10,7,8,8,7.92
Embedded Watch Button,8,7,8,9,7,8,8,7,6,8,8,9,7,9,7.81
Sport + Commerce,8,9,9,8,7,7,8,6,6,8,9,9,6,8,7.74
B2B alert API,7,7,8,9,7,7,7,8,7,8,7,9,7,8,7.55
Restock / availability,8,6,6,8,6,6,8,8,8,9,8,8,9,7,7.4
Sport + where-to-watch,8,9,9,5,6,6,8,8,7,9,8,7,8,6,7.35
Target-price alerts,8,6,6,8,8,4,8,8,8,9,9,7,9,6,7.34
Verified giveaways,7,5,5,5,8,7,10,8,7,6,9,6,9,6,6.95
Concert ticket alerts,7,5,6,7,5,5,8,8,7,9,7,8,8,6,6.71
Family events,7,5,6,6,5,5,8,8,5,9,8,7,8,5,6.44
Browser Watch,7,6,6,4,6,6,6,7,6,8,7,9,8,5,6.34
General consumer app,5,8,7,5,6,3,7,6,5,7,7,9,6,4,5.95
